CAT,STAT,LIVING_SQFT,YR_BLT,FP_SQFT,FP_PMFT,x,y,URBAN,POP_DEN,AVG_VAL,ELEV
CHU,Mean,7283.882703777336,1954.521072796935,7378.367467293187,388.16945290785253,45409.015365805164,-255826.29929842762,1.9367431772998374,6017.875554698051,591970.5300179429,137.8015988372093
CHU,Median,5000,1955,5341.17431640625,336.17889404296875,143606.3035000004,-414699.52940000035,2,6843,492310.9930508446,58
CHU,Count,5533,5220,5533,5533,5533,5533,5533,5183,5444,5504
COM,Mean,7930.711847563917,1966.0466793630212,7893.994301564519,371.7353306507455,48084.97172151664,-263070.43741457694,0.9651133622768934,5704.119879241058,704065.5756268307,141.13322322079185
COM,Median,4000,1967,4720.164794921875,307.19671630859375,142287.5099500008,-419602.73635000037,1,6436,579169.0145833569,56
COM,Count,103650,98716,103650,103650,103650,103650,103650,100034,102027,102925
COMMS,Mean,19739.204477332336,1964.7470880274966,11046.972162889157,453.9709704071451,-57108.494401601725,-139182.05481764706,0.9648744848257774,5544.011455198524,922681.6337340585,134.56082690292465
COMMS,Median,8570,1973,6937.431640625,378.2454528808594,-136789.4838999994,-66006.31725000031,1,6436,715698.4185014912,34
COMMS,Count,10676,10474,10676,10676,10676,10676,10676,10301,10422,10497
COMSS,Mean,6357.294393280778,1964.4368634371774,7474.29913353439,361.4629213141875,59324.83655899506,-282463.14835030725,0.9763353716938039,6169.112528109389,709848.8525754036,122.66216196191746
COMSS,Median,3600,1964,4514.78955078125,300.52587890625,150265.65819999948,-427608.4852,1,7476,587462.8564653569,55
COMSS,Count,67865,66863,67865,67865,67865,67865,67865,66259,67138,67485
HP,Mean,7785.986480396575,1974.0110510228074,6588.748759362116,339.9073730630346,21678.1917862551,-219757.9575335737,1.9862550698512844,5060.946995659127,596393.8034701803,123.64170637621964
HP,Median,4103,1976,4882.719970703125,305.1923065185547,21247.484200000763,-150708.73004999943,2,4550,538969.03547894035,64
HP,Count,4438,4253,4438,4438,4438,4438,4438,4377,4401,4407
MFMS,Mean,2766.936983784193,1972.5252870264064,3122.760383051255,244.22491834654522,-59834.661006723116,-153422.3402526559,1.9893062817306963,5536.83814757724,910314.590384841,125.6203666585187
MFMS,Median,2102,1978,2541.0316162109375,219.20552825927734,-166301.43170000054,-59986.14620000031,2,6436,767339.2081323977,43
MFMS,Count,105576,104520,105576,105576,105576,105576,105576,104447,105425,102275
MFSS,Mean,1745.2515686081272,1969.0558478215505,3524.195364408922,262.23690431659446,-21418.347118109345,-143943.41691216122,1.9793918290025514,4574.786462584273,646363.5701371327,118.88090360445158
MFSS,Median,1625,1973,3043.035400390625,241.0806427001953,-117090.30469999835,-72226.0251000002,2,4259,468860.7928443412,53
MFSS,Count,91323,91051,91323,91323,91323,91323,91323,89441,91115,90305
MOB,Mean,1346.573551732861,1985.2892016573405,2170.0588284843193,200.01995121724028,132127.71268538662,-276336.3025928029,1.6096003035669113,3291.4097243835804,364194.7922750157,428.9881273724167
MOB,Median,1352,1983,2135.934326171875,198.9653549194336,222325.99705000035,-413839.26580000017,2,3515,328390.6025670328,398
MOB,Count,47436,46822,47436,47436,47436,47436,47436,28917,46512,47420
MR,Mean,2693.902351213299,1966.66615639146,3140.691512332527,247.28287641871614,46019.40691767479,-277781.2069077009,1.9870234861383693,5754.129480146325,819323.7458426211,125.4794640710415
MR,Median,1995,1971,2671.654296875,227.7763671875,139584.66910000145,-425515.98000000045,2,6843,668232.2854834686,55
MR,Count,384695,380187,384695,384695,384695,384695,384695,379703,383551,378483
OTHER,Mean,19413.08936024951,1971.3804474351411,10488.984985209345,356.24756963468616,22755.267543126323,-183971.10973915143,1.6679407672533737,5118.466032724429,580902.1736400035,276.34390036349885
OTHER,Median,7280,1975,2697.55517578125,227.33905029296875,10023.835400000215,-147999.07019999996,2,4550,502598.3890779034,97
OTHER,Count,64447,62713,193339,193339,193339,193339,193339,129139,140925,190372
SCH,Mean,9237.40544518028,1962.182655410591,8117.547499992814,391.94747101795684,57087.92913723331,-295304.85149116995,1.9771891096394407,6253.981927710844,796371.3892271626,132.27481481481482
SCH,Median,4800,1960,5143.98046875,331.22161865234375,149865.47509999946,-428338.19739999995,2,7476,667651.8167941442,61
SCH,Count,1359,1303,1359,1359,1359,1359,1359,1328,1333,1350
SFMS,Mean,2355.784131830591,1984.3432152703701,2311.4903272971155,204.67020504906088,11109.578588970904,-203295.86389628277,1.9558647894863992,4828.621375616424,696796.0810563847,214.41184418597692
SFMS,Median,2265,1989,2254.920654296875,202.69956970214844,-61736.3665000014,-96421.00359999947,2,4163,568127.9003253914,88
SFMS,Count,881677,880293,881677,881677,881677,881677,881677,842764,880137,868882
SFSS,Mean,1543.088161532786,1969.9881176705212,2532.681344186703,219.67011521054062,-3691.547081967425,-170116.14540344966,1.9496044030863897,4788.044193565571,596408.715392895,149.89971973420873
SFSS,Median,1458,1968,2459.045654296875,218.50416564941406,-81767.32999999821,-82049.70450000092,2,4316,447572.3861756562,59
SFSS,Count,2194279,2191237,2194279,2194279,2194279,2194279,2194279,2083697,2190131,2179003
SR,Mean,1770.9323529947987,1974.0595487393164,2468.6339936930044,215.3453846741805,590.1385654653361,-179655.94986891627,1.9514346306410486,4800.477626924818,625080.4081333017,168.0203953561343
SR,Median,1631,1975,2396.8614501953125,213.8581771850586,-76690.49769999832,-84272.7907499997,2,4316,472793.58603613137,66
SR,Count,3071592,3067185,3071592,3071592,3071592,3071592,3071592,2922419,3065910,3043585
